publication_vintage_date,reference_date,principal_offence_id,sex_id,age_group_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_age_group,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,10_14_YEARS_05581698,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C2,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,10–14 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,10_14_YEARS_05581698,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C2,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,10–14 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,15_19_YEARS_3e4c0dd0,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C3,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,15–19 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,15_19_YEARS_3e4c0dd0,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C3,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,15–19 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,20_24_YEARS_2df2761c,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C4,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,20–24 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,20_24_YEARS_2df2761c,OFFENDER_RATE_bf190e83,published-value,published-unit,0.4,observed,0.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C4,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,20–24 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,25_29_YEARS_d1e1fc9b,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C5,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,25–29 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,25_29_YEARS_d1e1fc9b,OFFENDER_RATE_bf190e83,published-value,published-unit,0.3,observed,0.3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C5,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,25–29 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,30_34_YEARS_0a93b800,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C6,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,30–34 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,30_34_YEARS_0a93b800,OFFENDER_RATE_bf190e83,published-value,published-unit,0.3,observed,0.3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C6,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,30–34 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,35_39_YEARS_69a576ee,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C7,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,35–39 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,35_39_YEARS_69a576ee,OFFENDER_RATE_bf190e83,published-value,published-unit,0.3,observed,0.3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C7,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,35–39 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,40_44_YEARS_73d7663d,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C8,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,40–44 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,40_44_YEARS_73d7663d,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C8,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,40–44 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,45_49_YEARS_7d712677,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C9,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,45–49 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,45_49_YEARS_7d712677,OFFENDER_RATE_bf190e83,published-value,published-unit,0.4,observed,0.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C9,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,45–49 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,50_54_YEARS_e971eda4,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C10,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,50–54 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,50_54_YEARS_e971eda4,OFFENDER_RATE_bf190e83,published-value,published-unit,0.4,observed,0.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C10,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,50–54 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,55_59_YEARS_6b99c17f,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C11,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,55–59 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,55_59_YEARS_6b99c17f,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C11,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,55–59 years,Offender rate(e)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,60_64_YEARS_0f150066,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R16C12,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,60–64 years,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,FEMALES_29864773,60_64_YEARS_0f150066,OFFENDER_RATE_bf190e83,published-value,published-unit,0.4,observed,0.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 3,R41C12,sha256:d205cdf9b36c3b972b677519bee4a163cafe0762ab18b060642f275431e22948,RecipeV01,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,sha256:137848c23f0e1f8c33a26707f71374aa89de2e33b402afc5fd70d7bc4b2207a3,recorded-crime-offenders,sha256:0b3d269d10b9307f9258fa3fbe510bfad1e53fd77ba500c852209555d08021fd,tidy.table-family-acceptance/v2,sha256:694ca4f81c40af9ead852ac64eca57d9a508c5b373c5706d7d081192c222f480,sha256:d14556ce4490aca8ae6d57ced30d6d42f2ff56cc7a530f89e29277d960a14f03,sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:b94deba9f78d1276e22199c725268620a98bd067ceef6ebc9e07ba6ba73ecf37,01 Homicide and related offences,Females,60–64 years,Offender rate(e)
