publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_10_19_YEARS,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,21,observed,21,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R17C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,10–19 years,Age,2019–20,10–19 years,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_29_YEARS,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,314,observed,314,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R18C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,20–29 years,Age,2019–20,20–29 years,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_30_39_YEARS,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,436,observed,436,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R19C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,30–39 years,Age,2019–20,30–39 years,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_40_49_YEARS,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,322,observed,322,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R20C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,40–49 years,Age,2019–20,40–49 years,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_50_59_YEARS,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,102,observed,102,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R21C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,50–59 years,Age,2019–20,50–59 years,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_60_YEARS_AND_OVER,GROUP_AGE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,17,observed,17,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R22C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,60 years and over,Age,2019–20,60 years and over,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,GROUP_INDIGENOUS_STATUS,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,448,observed,448,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R27C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Aboriginal and Torres Strait Islander,Indigenous status,2019–20,Aboriginal and Torres Strait Islander,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,13,observed,13,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R33C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Acquitted,Method of finalisation,2019–20,Acquitted,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,756,observed,756,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R32C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Adjudicated outcomes,Method of finalisation,2019–20,Adjudicated outcomes,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3,observed,3,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R10C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Children's,Court level,2019–20,Children's,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,27,observed,27,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R46C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Community supervision/ work orders,Principal sentence,2019–20,Community supervision/ work orders,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_CUSTODIAL_ORDERS,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,205,observed,205,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R43C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Custodial orders,Principal sentence,2019–20,Custodial orders,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,128,observed,128,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R44C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Custody in a correctional institution,Principal sentence,2019–20,Custody in a correctional institution,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_FEMALES,GROUP_SEX,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,83,observed,83,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R14C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Females,Sex,2019–20,Females,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_FINES,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,71,observed,71,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R47C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Fines,Principal sentence,2019–20,Fines,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_GUILTY_EX_PARTE,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,5,observed,5,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R37C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,    Guilty ex-parte,Method of finalisation,2019–20,    Guilty ex-parte,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_GUILTY_FINDING_BY_THE_COURT,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3,observed,3,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R35C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,    Guilty finding by the court,Method of finalisation,2019–20,    Guilty finding by the court,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_GUILTY_OUTCOME,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,743,observed,743,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R34C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Guilty outcome,Method of finalisation,2019–20,Guilty outcome,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_GUILTY_PLEA,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,736,observed,736,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R36C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,    Guilty plea,Method of finalisation,2019–20,    Guilty plea,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_HIGHER,GROUP_COURT_LEVEL,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3,observed,3,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R8C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Higher,Court level,2019–20,Higher,"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_MAGISTRATES,GROUP_COURT_LEVEL,2020-06-30,COUNT,SA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,1206,observed,1206,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 18,R9C2,sha256:90ff49aef624b5e31e682b2a681d7b0bba559b4851bb1bb5e6d518c022f72327,criminal-courts-australia,sha256:1b73b4fa238cc18041826fcbc499df967681f69e2098032b4f4690aaa3e20961,tidy.table-family-acceptance/v2,sha256:bc2daf4b9d7aa45b4b2ba68498171a70565d13a31cf29be0e414fc691252959b,sha256:136a0e8d7546d664a1703b8d7aec1bf1efaa069e8eb4efc58b1b67524320c961,sha256:d1254800ecade96ff48c7e6dbd595b2766008076bfa0a2017fa5c210ef346f25,human-authored/deterministic-map-v1,replay:sha256:4e8ed01209ba1189737879600885d5129038f820669db6b76a8a1fba5d3d98c9,Magistrates',Court level,2019–20,Magistrates',"FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22","FDV Table 18 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, South Australia, 2019–20 to 2021–22"
