publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,64,observed,64,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R58C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,3.2,observed,3.2,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R23C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,7777,observed,7777,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R59C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,385.1,observed,385.1,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R24C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,804,observed,804,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R60C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,39.8,observed,39.8,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R25C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,1039,observed,1039,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R61C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,51.4,observed,51.4,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R26C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,568,observed,568,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R62C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,28.1,observed,28.1,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R27C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,2391,observed,2391,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R63C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,06 Burglary,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,118.4,observed,118.4,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R28C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,06 Burglary,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,5944,observed,5944,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R64C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,07 Theft,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,294.3,observed,294.3,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R29C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,07 Theft,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,1405,observed,1405,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R65C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,69.6,observed,69.6,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R30C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,5567,observed,5567,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R66C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,09 Drug offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,275.6,observed,275.6,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 74,R31C2,sha256:5c5864119963067f3f2fa694380c48dd288594da9472f1af42169e72f8256a9e,criminal-courts-australia,sha256:2c703a991e753213858516cb6dde2ae1c25c6875eeb57b442ee2e762fe175272,tidy.table-family-acceptance/v2,sha256:77b00417ec8cab9d22e8cfeb2ee3e991604b288e8845a65704d3e408476d4427,sha256:578b5fb09fff5fe8231fe629b33b3dd4cf3914230cc99435363488ec841e5f78,sha256:856807c4f7649230334970e7956f40c312c6aa08593b1d009aa7409dc78cc73d,human-authored/deterministic-map-v1,replay:sha256:c1ca5a3926e328f670d0ba88c828e18faec5f2f20f23f03ed93ebc81a5383054,09 Drug offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 74 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
