publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C2,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C3,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C4,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C5,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C6,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,08 Theft,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C7,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C8,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,13 Public order offences,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C9,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,15,observed,15,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R33C10,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Acquitted,Method of finalisation,2020–21,Total,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,1019,observed,1019,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C2,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,116,observed,116,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C3,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,314,observed,314,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C4,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,173,observed,173,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C5,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,401,observed,401,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C6,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,08 Theft,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,175,observed,175,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C7,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,71,observed,71,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C8,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,13 Public order offences,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,100,observed,100,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C9,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,VIC,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,2938,observed,2938,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 25,R32C10,sha256:30396a1e5ae41af4ee09c99a17d1d6540521f49a5c536e62bb5a5a18dbc6ed80,criminal-courts-australia,sha256:0d8c465ff37db7141f5283f585ba653afa120187aa02b6516b9d9578e9ce83a1,tidy.table-family-acceptance/v1,sha256:7403564d3cda86f77ed8ce8389d5b9d44b3108ebf7f858eabef225ecdce13afa,sha256:26a05b2929aae6003371a2057c860fbe5cc3c8383c2841411c6d5d3b7e67868c,sha256:358752c310f335941643d0152d56bcc588081d1d6c5d89a78ca6c13ceecebded,human-authored/deterministic-map-v1,replay:sha256:420db9ace0c20e43f4a8b55c6206d20af4e069e0973c429a21c758ffbc10d843,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22","Table 25 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Victoria, 2020–21 to 2021–22"
