publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2020-06-30,CHAR_10_19_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,900,observed,900,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R16C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,10–19 years,Age,2019–20,10–19 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_20_24_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1232,observed,1232,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R17C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,20–24 years,Age,2019–20,20–24 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_25_29_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1487,observed,1487,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R18C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,25–29 years,Age,2019–20,25–29 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_30_34_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1479,observed,1479,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R19C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,30–34 years,Age,2019–20,30–34 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_35_39_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1433,observed,1433,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R20C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,35–39 years,Age,2019–20,35–39 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_40_44_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1177,observed,1177,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R21C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,40–44 years,Age,2019–20,40–44 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_45_49_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,975,observed,975,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R22C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,45–49 years,Age,2019–20,45–49 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_50_54_YEARS,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,478,observed,478,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R23C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,50–54 years,Age,2019–20,50–54 years,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,GROUP_AGE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,422,observed,422,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R24C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,55 years and over,Age,2019–20,55 years and over,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,GROUP_INDIGENOUS_STATUS,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,2764,observed,2764,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R29C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Aboriginal and Torres Strait Islander,Indigenous status(a),2019–20,Aboriginal and Torres Strait Islander,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,696,observed,696,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R36C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Acquitted,Method of finalisation,2019–20,Acquitted,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,8964,observed,8964,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R35C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Adjudicated outcomes(c),Method of finalisation,2019–20,Adjudicated outcomes(c),"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_AGREEMENT_OF_WRONGDOING,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,,not_available,na,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R41C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Agreement of wrongdoing(e),Method of finalisation,2019–20,Agreement of wrongdoing(e),"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,598,observed,598,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R9C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Children's,Court level,2019–20,Children's,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_COMMUNITY_SERVICE_WORK,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,274,observed,274,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R50C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Community service / work,Principal sentence(g),2019–20,Community service / work,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1724,observed,1724,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R47C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Custody in a correctional institution,Principal sentence(g),2019–20,Custody in a correctional institution,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FEMALES,GROUP_SEX,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1566,observed,1566,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R13C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Females,Sex,2019–20,Females,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FINES,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1033,observed,1033,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R53C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Fines,Principal sentence(g),2019–20,Fines,"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,6,observed,6,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R49C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Fully suspended sentence of imprisonment(h),Principal sentence(g),2019–20,Fully suspended sentence of imprisonment(h),"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_GOOD_BEHAVIOUR_INCL_BONDS,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,NSW,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,979,observed,979,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 19,R54C2,sha256:9fb0ad79beda1c82f4d1c3cd6fb46c5f53030f52d4738b0a9a2344ddb106bf44,criminal-courts-australia,sha256:b4bf7582bb6f05e6b066b852e9f5012661cf1cadc9fce9ea91a0336f017af10a,tidy.table-family-acceptance/v2,sha256:f4c15999645b331351e1e1566dd304471deaf2ce9ac5217f9797c9571cc9493e,sha256:c0e26308773dd64ef48f9f33c607d92a8d6bbe5ebcaf69701f481d723ae144e3,sha256:18672d77bec14fd3645d5cbc586f7bb1d73b063c37d6b8a988be7a58c8df9123,human-authored/deterministic-map-v1,replay:sha256:e5da8ce617622234b82e8d5c799c2db9cb2e071a04e914b91b74d47a3226011f,Good behaviour (incl. bonds)(i),Principal sentence(g),2019–20,Good behaviour (incl. bonds)(i),"FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25","FDV Table 19 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, New South Wales, 2019–20 to 2024–25"
