publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,639,observed,639,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R58C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,01 Homicide(d),Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,3.3,observed,3.3,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R23C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,01 Homicide(d),Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,61586,observed,61586,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R59C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,318.4,observed,318.4,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R24C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,5923,observed,5923,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R60C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,30.6,observed,30.6,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R25C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,8602,observed,8602,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R61C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,04 Harm or endanger persons(e),Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,44.5,observed,44.5,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R26C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,04 Harm or endanger persons(e),Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,3647,observed,3647,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R62C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,18.9,observed,18.9,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R27C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,13144,observed,13144,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R63C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,06 Burglary,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,68,observed,68,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R28C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,06 Burglary,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,43059,observed,43059,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R64C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,07 Theft,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,222.6,observed,222.6,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R29C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,07 Theft,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,13487,observed,13487,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R65C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,69.7,observed,69.7,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R30C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,36865,observed,36865,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R66C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,09 Drug offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Number of defendants finalised,"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,190.6,observed,190.6,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 69,R31C2,sha256:097e811e7ca5ce66fd38b8bed2530858dd4fe7c57ae357792804815b9db70ce5,criminal-courts-australia,sha256:0419fa597575f1d9382f3637538b5031887dbfc9a4e0b590a73ccec80f2c89b8,tidy.table-family-acceptance/v2,sha256:fb85fc6ba598db923c74cb11411a535f387d7b2a6a2d2d648b9b2cc5cd0af934,sha256:ba3640e23e8c96ac26c7458b46d300fc5322a0871ed0f825c71b77e1581da1e1,sha256:d9891dde8b887eaed5450a124f02da048e65df205a1fe96c7085e78c2b5cf117,human-authored/deterministic-map-v1,replay:sha256:39516e0a87db91c3423c48cd535bc7f29bb55904f0e8b4dbeafd6550411f8379,09 Drug offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Rate of defendants finalised(b),"Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 69 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
