publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,indigenous_status_id,jurisdiction_id,observation_period_id,characteristic_group_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_indigenous_status,raw_jurisdiction,raw_observation_period,raw_characteristic_group,raw_classification_context
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C2,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Aboriginal and Torres Strait Islander,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,6,observed,6,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C14,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Aboriginal and Torres Strait Islander,NT,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,5,observed,5,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C5,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Qld,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C8,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Aboriginal and Torres Strait Islander,SA,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,27,observed,27,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C3,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Non-Indigenous,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C15,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Non-Indigenous,NT,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,17,observed,17,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C6,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Non-Indigenous,Qld,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C9,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Non-Indigenous,SA,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_TOTAL,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,34,observed,34,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C4,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Total,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_TOTAL,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,7,observed,7,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C16,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Total,NT,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_TOTAL,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,23,observed,23,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C7,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Total,Qld,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,COUNT,INDIGENOUS_STATUS_TOTAL,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R112C10,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,01 Homicide and related offences,01 Homicide and related offences,Total,SA,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,2635,observed,2635,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C2,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Aboriginal and Torres Strait Islander,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,1451,observed,1451,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C14,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Aboriginal and Torres Strait Islander,NT,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,977,observed,977,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C5,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Aboriginal and Torres Strait Islander,Qld,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,451,observed,451,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C8,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Aboriginal and Torres Strait Islander,SA,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,9297,observed,9297,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C3,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Non-Indigenous,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,NT,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,138,observed,138,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C15,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Non-Indigenous,NT,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,QLD,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,1145,observed,1145,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C6,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Non-Indigenous,Qld,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_NON_INDIGENOUS,SA,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,1010,observed,1010,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C9,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Non-Indigenous,SA,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_021_ASSAULT,COUNT,INDIGENOUS_STATUS_TOTAL,NSW,2020-06-30,GROUP_PRINCIPAL_FDV_OFFENCE,FDV_EXPERIMENTAL_RELEASE_2021_22,defendant-count,person,12559,observed,12559,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 5,R114C4,sha256:abff3e430b3ed855eaee990ed63bf5671095ee74f2530dc40b9c755e84c2857b,criminal-courts-australia,sha256:f93df771b191ccb52fd6a7d38a918b831b798bab7bf8567705d6855d2f3cb9ba,tidy.table-family-acceptance/v2,sha256:8d918adec1b97474460f723b44c5b7436a99936eafb5a4eba643453008d5f402,sha256:6fbe4c0d67c5ea386a12e4e8d9072deb4b29dfa8e8bdfcc5100ca36079c8e7d9,sha256:88a1c64cb61099894082615fac148edcb62d769eeb5002012e3fe2b911433f77,human-authored/deterministic-map-v1,replay:sha256:46870badcfda5a4a4e11400883c0b4766b753d4c1bcd53db03d7179524499f76,021 Assault,021 Assault,Total,NSW,2019–20,Principal FDV offence,"FDV Table 5 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Indigenous status and by state and territories, 2019–20 to 2021–22"
