publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C2,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,01 Homicide and related offences,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,23,observed,23,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C4,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,021 Assault,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C8,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,23,observed,23,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C3,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C5,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C6,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C7,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C9,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,121 Property damage,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,13,observed,13,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C10,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,1531 Breach of violence order,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,40,observed,40,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R102C11,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,10–19 years,10–19 years,2019–20,Total,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C2,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,01 Homicide and related offences,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,122,observed,122,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C4,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,021 Assault,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C8,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,123,observed,123,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C3,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C5,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C6,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C7,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,21,observed,21,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C9,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,121 Property damage,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,71,observed,71,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C10,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,1531 Breach of violence order,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,TAS,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,218,observed,218,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 11,R103C11,sha256:e57c5f196262512cbb2a6f4ab3738df53eb51a62b7fb201ecfb47544a21ebb6d,criminal-courts-australia,sha256:8b85ebb8c3a44d1492bac3f04757f5c338846fb76906b24463ed87d60b041cf6,tidy.table-family-acceptance/v2,sha256:393ad7fbf68dd76ec95b424f45d9768d4ce2ef2c4715e1f1ae078288172e392f,sha256:0100df715218588bc4b662a0c51c5f5600a9a45221889eb6c586df8437430b3f,sha256:ac04534e0afc7eb00b3c90f0684b3c26596707a4af083680d8d99fe796b0e002,human-authored/deterministic-map-v1,replay:sha256:62d78ea589b255647508fffc9c5e5de64037de7eec8522ed0fe67fab35b5abb2,20–24 years,20–24 years,2019–20,Total,Age,"FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22","FDV Table 11 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Tasmania, 2019–20 to 2021–22"
