publication_vintage_date,reference_date,principal_offence_id,observation_period_id,sex_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_sex,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,PERSONS_4d6dccab,NUMBER_a081e07b,published-value,published-unit,6,observed,6,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R42C3,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2009–10,Persons(g),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2009_10_d4eb8e50,PERSONS_4d6dccab,OFFENDER_RATE_bf190e83,published-value,published-unit,1.9,observed,1.9,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R42C17,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2009–10,Persons(g),Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,FEMALES_29864773,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R25C4,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Females,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,FEMALES_29864773,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R25C18,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Females,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,MALES_66d5f994,NUMBER_a081e07b,published-value,published-unit,6,observed,6,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R8C4,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Males,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,MALES_66d5f994,OFFENDER_RATE_bf190e83,published-value,published-unit,3.8,observed,3.8,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R8C18,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Males,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,PERSONS_4d6dccab,NUMBER_a081e07b,published-value,published-unit,6,observed,6,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R42C4,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Persons(g),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2010_11_bcb455ae,PERSONS_4d6dccab,OFFENDER_RATE_bf190e83,published-value,published-unit,1.9,observed,1.9,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R42C18,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2010–11,Persons(g),Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2011_12_dd65d86c,FEMALES_29864773,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R25C5,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2011–12,Females,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2011_12_dd65d86c,FEMALES_29864773,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R25C19,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2011–12,Females,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2011_12_dd65d86c,MALES_66d5f994,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:c73c68dc7f5b4441b8814152684a2dc817d0bf2489ae65d8d39da99ae805cf66,Table 14,R8C5,sha256:2c2e157bee49d0020aead58f66db8f0f20e8430dd1c9c7ebcb49702094f3ef61,RecipeV01,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,sha256:5f64e6070d59396d1579783970016d30635bfd7fafb2149af4b97e8f7d32c624,recorded-crime-offenders,sha256:acb0c4cf2d5dd47946571e1e3925c79ee60f894e8317e59b5780cbeed7f69d70,tidy.table-family-acceptance/v2,sha256:24d0e8c634f69410ab8703b0ce1faeab70742eb1c75c420d49a3548bfdc51b67,sha256:de6e9767bc9ec0fb26d74b7e00c686b61888ea1a3c0b39bb994a0944077d8215,sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:e03d6a03f6cd229e9b57337bd54b0e69ab8eee3538012d5fe7c4c75c964a002d,01 Homicide and related offences,2011–12,Males,Number
