publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C2,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,"01 Homicide
 & related offences","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,41,observed,41,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C3,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,82,observed,82,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C4,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,13,observed,13,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C5,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,6,observed,6,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C6,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C7,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,09 Fraud/ deception,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,20,observed,20,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C8,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,10 Illicit drug offences,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,205,observed,205,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R33C9,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Acquitted,Method of finalisation,2020–21,Total,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,43,observed,43,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C2,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,"01 Homicide
 & related offences","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,264,observed,264,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C3,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,385,observed,385,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C4,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,244,observed,244,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C5,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,258,observed,258,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C6,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,37,observed,37,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C7,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,09 Fraud/ deception,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,600,observed,600,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C8,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,10 Illicit drug offences,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,2160,observed,2160,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R32C9,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R49C2,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Community supervision/work orders,Non-custodial orders,2020–21,"01 Homicide
 & related offences","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,WA,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:560baf91a3f44cd151402a5c4d061bd5febd263010c471911b7c40997df1611f,Table 38,R49C3,sha256:4e381fa6334576bfbef9c6f04ec6c9d93bab8d31516f4727ff98b4cc32016169,criminal-courts-australia,sha256:7eebcd8b503b2a83b29f4c6ead3e045bb25288739831bc6a69d3c72bff1a8625,tidy.table-family-acceptance/v1,sha256:39eeb123f865bc56d79e13366936384203cebf8a3d030b6a8f2bb10d00c8146b,sha256:95c5afec483d0cf26db859f5c086bcf3c6ec7abe418918e389e3fbcf58f3e23e,sha256:aac5a1ad9a276fed607ef00e3f369aebc88fb4ba605ab27c2db4ca4e8532b8e5,human-authored/deterministic-map-v1,replay:sha256:e555458aae5a8ffb05585293f058386efb0faf311f7ec5240ebb8177b9fbcda8,Community supervision/work orders,Non-custodial orders,2020–21,02 Acts intended to cause injury,"Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22","Table 38 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Western Australia, 2020–21 to 2021–22"
