publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C2,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,01 Homicide and related offences,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,1109,observed,1109,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C4,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,021 Assault,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,458,observed,458,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C8,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,1566,observed,1566,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C3,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,70,observed,70,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C5,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C6,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C7,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,329,observed,329,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C9,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,121 Property damage,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,288,observed,288,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C10,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,1531 Breach of violence order,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,2255,observed,2255,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R102C11,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,10–19 years,10–19 years,2019–20,Total,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C2,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,01 Homicide and related offences,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,1711,observed,1711,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C4,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,021 Assault,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,564,observed,564,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C8,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,2274,observed,2274,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C3,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,89,observed,89,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C5,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C6,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,5,observed,5,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C7,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,401,observed,401,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C9,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,121 Property damage,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,608,observed,608,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C10,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,1531 Breach of violence order,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,NSW,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3382,observed,3382,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 6,R103C11,sha256:b9cd66c8585cbd421cbda28e5bb432b8a8335053ad46cc467cddddbe42d33166,criminal-courts-australia,sha256:da8a8ce1a3d31d33dc108d541edd01ecc233bab62022f700bf2ec49c6b0606d5,tidy.table-family-acceptance/v2,sha256:878ec036243dec9f91af434b3e9df569b3ac124c851f9a151b7b960c2c3166e5,sha256:cb473e2938a1178813fa80c92e45e5e479b2f0c61047bb81bc980886052b79c6,sha256:e25c2e7a527ddbd4d944df9e3761f438d091bf2fe156a93ca975b198eacd1dbb,human-authored/deterministic-map-v1,replay:sha256:ae9ad7eb2d33478febae638d16d97f1f22c29f695c0dac9eaba632e153a11257,20–24 years,20–24 years,2019–20,Total,Age,"FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22","FDV Table 6 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, New South Wales, 2019–20 to 2021–22"
