publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,68,observed,68,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R17C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,01 Homicide,Principal offence (ANZSOC 2023)(e),2010–11(a),All Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,3,observed,3,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R187C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,01 Homicide,Principal offence (ANZSOC 2023)(e),2010–11(a),Children's Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,46,observed,46,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R74C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,01 Homicide,Principal offence (ANZSOC 2023)(e),2010–11(a),Higher Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,17,observed,17,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R131C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,01 Homicide,Principal offence (ANZSOC 2023)(e),2010–11(a),Magistrates' Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,6687,observed,6687,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R18C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,02 Assault,Principal offence (ANZSOC 2023)(e),2010–11(a),All Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,550,observed,550,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R188C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,02 Assault,Principal offence (ANZSOC 2023)(e),2010–11(a),Children's Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,395,observed,395,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R75C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,02 Assault,Principal offence (ANZSOC 2023)(e),2010–11(a),Higher Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,5743,observed,5743,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R132C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,02 Assault,Principal offence (ANZSOC 2023)(e),2010–11(a),Magistrates' Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,808,observed,808,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R19C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,03 Sexual offences,Principal offence (ANZSOC 2023)(e),2010–11(a),All Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,58,observed,58,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R189C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,03 Sexual offences,Principal offence (ANZSOC 2023)(e),2010–11(a),Children's Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,368,observed,368,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R76C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,03 Sexual offences,Principal offence (ANZSOC 2023)(e),2010–11(a),Higher Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,385,observed,385,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R133C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,03 Sexual offences,Principal offence (ANZSOC 2023)(e),2010–11(a),Magistrates' Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,387,observed,387,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R20C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(e),2010–11(a),All Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,23,observed,23,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R190C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(e),2010–11(a),Children's Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,75,observed,75,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R77C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(e),2010–11(a),Higher Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,294,observed,294,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R134C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(e),2010–11(a),Magistrates' Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,365,observed,365,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R21C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(e),2010–11(a),All Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,SA,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,110,observed,110,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 39,R191C2,sha256:429f1a3f48c9b4e07388ee63144e7bb81851a18dc1977e79b27b15e853baa67d,criminal-courts-australia,sha256:5ef7ce213027251278facefa4166707c583bc8373d25f142ccefaac8175fdfe9,tidy.table-family-acceptance/v1,sha256:c910d23f6fdfd63b5a31765e28453e150e010656ef01b4f47262a18f1a5d7244,sha256:abb3e3a233cc2a98d914e53a640948796ffa0ca1adae9a3f47fbcace4d37ffd7,sha256:3cd4618e9b0368ec8ce2d50212a69e602516c519ffe281e1603ef5cc637a5842,human-authored/deterministic-map-v1,replay:sha256:8a726ff34df8ea2f4a0d6c147ab7806dc3e5de9ec65bebb07e79275be21673e2,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(e),2010–11(a),Children's Courts,"Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 39 Defendants finalised, Summary characteristics by court level – South Australia, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
