reference_date,observation_period_id,jurisdiction_id,indigenous_status_id,sex_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_jurisdiction,raw_indigenous_status,raw_sex
2021-06-30,2006_6f6a4e56,AUST_895ceebd,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MALES_66d5f994,published-value,published-unit,2487.2,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R8C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Males
2021-06-30,2006_6f6a4e56,AUST_895ceebd,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,PERSONS_4d6dccab,published-value,published-unit,1332.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R44C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons
2021-06-30,2006_6f6a4e56,AUST_895ceebd,NON_INDIGENOUS_2f231fea,FEMALES_29864773,published-value,published-unit,16.8,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R80C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,NON-INDIGENOUS,Females
2021-06-30,2006_6f6a4e56,AUST_895ceebd,NON_INDIGENOUS_2f231fea,MALES_66d5f994,published-value,published-unit,246.6,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R62C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,NON-INDIGENOUS,Males
2021-06-30,2006_6f6a4e56,AUST_895ceebd,NON_INDIGENOUS_2f231fea,PERSONS_4d6dccab,published-value,published-unit,131.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R98C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,NON-INDIGENOUS,Persons
2021-06-30,2006_6f6a4e56,AUST_895ceebd,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,FEMALES_29864773,published-value,published-unit,13.6,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R134C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Females
2021-06-30,2006_6f6a4e56,AUST_895ceebd,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,MALES_66d5f994,published-value,published-unit,10.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R116C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Males
2021-06-30,2006_6f6a4e56,AUST_895ceebd,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,PERSONS_4d6dccab,published-value,published-unit,10.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R152C10,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,Aust.,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Persons
2021-06-30,2006_6f6a4e56,NSW_647faf01,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,published-value,published-unit,291.3,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R26C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Females
2021-06-30,2006_6f6a4e56,NSW_647faf01,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MALES_66d5f994,published-value,published-unit,2470.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R8C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Males
2021-06-30,2006_6f6a4e56,NSW_647faf01,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,PERSONS_4d6dccab,published-value,published-unit,1353.3,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R44C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons
2021-06-30,2006_6f6a4e56,NSW_647faf01,NON_INDIGENOUS_2f231fea,FEMALES_29864773,published-value,published-unit,20,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R80C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,NON-INDIGENOUS,Females
2021-06-30,2006_6f6a4e56,NSW_647faf01,NON_INDIGENOUS_2f231fea,MALES_66d5f994,published-value,published-unit,294.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R62C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,NON-INDIGENOUS,Males
2021-06-30,2006_6f6a4e56,NSW_647faf01,NON_INDIGENOUS_2f231fea,PERSONS_4d6dccab,published-value,published-unit,156.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R98C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,NON-INDIGENOUS,Persons
2021-06-30,2006_6f6a4e56,NSW_647faf01,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,FEMALES_29864773,published-value,published-unit,14.6,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R134C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Females
2021-06-30,2006_6f6a4e56,NSW_647faf01,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,MALES_66d5f994,published-value,published-unit,8.4,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R116C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2006,NSW,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Males
