publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2020-06-30,CHAR_10_19_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,520,observed,520,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R16C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,10–19 years,Age,2019–20,10–19 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_20_24_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1550,observed,1550,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R17C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,20–24 years,Age,2019–20,20–24 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_25_29_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1854,observed,1854,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R18C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,25–29 years,Age,2019–20,25–29 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_30_34_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1913,observed,1913,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R19C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,30–34 years,Age,2019–20,30–34 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_35_39_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1738,observed,1738,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R20C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,35–39 years,Age,2019–20,35–39 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_40_44_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1435,observed,1435,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R21C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,40–44 years,Age,2019–20,40–44 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_45_49_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1043,observed,1043,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R22C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,45–49 years,Age,2019–20,45–49 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_50_54_YEARS,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,496,observed,496,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R23C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,50–54 years,Age,2019–20,50–54 years,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,GROUP_AGE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,362,observed,362,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R24C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,55 years and over,Age,2019–20,55 years and over,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,GROUP_INDIGENOUS_STATUS,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,3395,observed,3395,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R29C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Aboriginal and Torres Strait Islander,Indigenous status,2019–20,Aboriginal and Torres Strait Islander,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,64,observed,64,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R36C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Acquitted,Method of finalisation,2019–20,Acquitted,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,10068,observed,10068,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R35C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Adjudicated outcomes(b),Method of finalisation,2019–20,Adjudicated outcomes(b),"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_AGREEMENT_OF_WRONGDOING,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,,not_applicable,..,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R41C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Agreement of wrongdoing(d),Method of finalisation,2019–20,Agreement of wrongdoing(d),"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,108,observed,108,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R9C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Children's,Court level,2019–20,Children's,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_COMMUNITY_SERVICE_WORK,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,224,observed,224,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R50C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Community service / work,Principal sentence(f),2019–20,Community service / work,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,2826,observed,2826,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R47C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Custody in a correctional institution,Principal sentence(f),2019–20,Custody in a correctional institution,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FEMALES,GROUP_SEX,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,1634,observed,1634,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R13C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Females,Sex,2019–20,Females,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FINES,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,3064,observed,3064,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R53C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Fines,Principal sentence(f),2019–20,Fines,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_FULLY_SUSPENDED_SENTENCE_OF_IMPRISONMENT,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,939,observed,939,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R49C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Fully suspended sentence of imprisonment,Principal sentence(f),2019–20,Fully suspended sentence of imprisonment,"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_GOOD_BEHAVIOUR_INCL_BONDS,GROUP_PRINCIPAL_SENTENCE,2020-06-30,COUNT,QLD,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,596,observed,596,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 21,R54C2,sha256:d7687bb0ed139bdc8cd03ec1bbb1da7ffeb7d5e03dc92d9388b940d6e6f8b7e1,criminal-courts-australia,sha256:bb2f804da155960d14c299fc4165f7a554c95783fb90ba915596b92556eb9928,tidy.table-family-acceptance/v2,sha256:6aaba7b9c8770314aad6f7d663c14dce42e067a4550db6b840376a30241bb0ee,sha256:5ef2bf1fe9893fedd5778fe0bd13c915960e567680926395593a4f8005445d9a,sha256:a38be544d07c62ebd31dec4e393c0d524ede0ade9c5fc11b86e72d27209a6bba,human-authored/deterministic-map-v1,replay:sha256:aac8ff9e563ce336a9e96e590fbed2092aa96bcdf96f59583f2a945065e13b2f,Good behaviour (incl. bonds),Principal sentence(f),2019–20,Good behaviour (incl. bonds),"FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25","FDV Table 21 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Queensland, 2019–20 to 2024–25"
