publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,16,observed,16,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C2,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C3,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,22,observed,22,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C4,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,6,observed,6,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C5,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,08 Theft,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C6,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C7,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,13 Public order offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C8,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,54,observed,54,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R33C9,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Acquitted,Method of finalisation,2020–21,Total,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,117,observed,117,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C2,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,30,observed,30,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C3,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,104,observed,104,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C4,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,50,observed,50,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C5,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,08 Theft,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,21,observed,21,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C6,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C7,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,13 Public order offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,32,observed,32,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C8,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,429,observed,429,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R32C9,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R49C2,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Community supervision/work orders,Non-custodial orders,2020–21,02 Acts intended to cause injury,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,NT,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 50,R49C3,sha256:3950d76ea5257a00905dca12b8b7399fc9f77262a39b395ff4a345ea8a9f813f,criminal-courts-australia,sha256:2fb4e111cb123537d97ce6ef2371f736315b198f215c28197c5ba26a92dd4b3e,tidy.table-family-acceptance/v2,sha256:7f40b83b0f3d6e61522b1d36c7cfd6e6baec790dfcccc3977c1e809d2c6a23a1,sha256:8ab630d7b53319edb5e8a00489024bafefd4e5ec3ebfc30060b0c01580f97f6f,sha256:8c146fe5d8b8acec46eea0eb06a35114cb024c1da21c308631ca60d521dfaa8c,human-authored/deterministic-map-v1,replay:sha256:71a63be27dde2d5d7476e008304f8c26077ae994698c7a5f2c88cc25d0b649ff,Community supervision/work orders,Non-custodial orders,2020–21,04 Dangerous/ negligent acts,"Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22","Table 50 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Northern Territory, 2020–21 to 2021–22"
