reference_date,most_serious_offence_id,indigenous_status_id,aggregate_sentence_length_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_most_serious_offence,raw_indigenous_status,raw_aggregate_sentence_length
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,LIFE_0c23e313,published-value,published-unit,767,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C11,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Life
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,MEAN_YEARS_6cb1f395,published-value,published-unit,17.4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C15,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Mean (years)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,MEDIAN_YEARS_51edc4af,published-value,published-unit,18,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C16,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Median (years)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,OTHER_1c55d9b8,published-value,published-unit,30,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C12,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Other
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,TOTAL_1d7c16e5,published-value,published-unit,10.5,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C14,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Total (%)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,TOTAL_ab2882c8,published-value,published-unit,2028,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C13,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Total
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NON_INDIGENOUS_2f231fea,UNDER_3_MONTHS_51315264,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R25C2,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,NON-INDIGENOUS,Under 3 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,10_UNDER_15_YEARS_c3f4adc6,published-value,published-unit,256,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C8,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,10 & under 15 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,15_UNDER_20_YEARS_52a374dc,published-value,published-unit,222,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C9,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,15 & under 20 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,1_UNDER_2_YEARS_d31c6cd7,published-value,published-unit,7,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C5,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,1& under 2 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,20_YEARS_OVER_d9ed9a94,published-value,published-unit,623,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C10,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,20 years & over
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,2_UNDER_5_YEARS_c6777906,published-value,published-unit,68,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C6,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,2 & under 5 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,3_UNDER_6_MONTHS_87c804fe,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C3,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,3 & under 6 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,5_UNDER_10_YEARS_febfe63e,published-value,published-unit,342,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C7,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,5 & under 10 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,6_UNDER_12_MONTHS_3db9707f,published-value,published-unit,3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C4,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,6 & under 12 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,LIFE_0c23e313,published-value,published-unit,950,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C11,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Life
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,MEAN_YEARS_6cb1f395,published-value,published-unit,17.2,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C15,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Mean (years)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,MEDIAN_YEARS_51edc4af,published-value,published-unit,17,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C16,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Median (years)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,OTHER_1c55d9b8,published-value,published-unit,38,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C12,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Other
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,TOTAL_1d7c16e5,published-value,published-unit,9.1,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C14,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Total (%)
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,TOTAL_ab2882c8,published-value,published-unit,2513,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C13,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Total
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,TOTAL_ab2882c8,UNDER_3_MONTHS_51315264,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R43C2,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,01 Homicide and related offences,TOTAL,Under 3 months
2021-06-30,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,10_UNDER_15_YEARS_c3f4adc6,published-value,published-unit,44,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R8C8,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,02 Acts intended to cause injury,ABORIGINAL AND TORRES STRAIT ISLANDER,10 & under 15 years
2021-06-30,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,15_UNDER_20_YEARS_52a374dc,published-value,published-unit,7,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R8C9,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,02 Acts intended to cause injury,ABORIGINAL AND TORRES STRAIT ISLANDER,15 & under 20 years
2021-06-30,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,1_UNDER_2_YEARS_d31c6cd7,published-value,published-unit,774,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R8C5,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,02 Acts intended to cause injury,ABORIGINAL AND TORRES STRAIT ISLANDER,1& under 2 years
2021-06-30,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,20_YEARS_OVER_d9ed9a94,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R8C10,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,02 Acts intended to cause injury,ABORIGINAL AND TORRES STRAIT ISLANDER,20 years & over
2021-06-30,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,2_UNDER_5_YEARS_c6777906,published-value,published-unit,877,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_11,R8C6,sha256:d87190742043fba09b85b911cae8de10f727e799e3e5be736b3c33433319a372,prisoners-in-australia,sha256:1b2ff77c71d17e3bf4b394f4786ab2bb0d2b41a4fc1b887bd361c943283dab6d,tidy.table-family-acceptance/v2,sha256:73c6c19842f933890029b1a37e392a6d8e903fc6561f3db282be3e14756a3dda,sha256:5338d93ccdb72afbba582a9efc337d9c1d9023a09fb13948cadd913f3bec48e1,sha256:31ec0d63cba4eae8c8af3f92b72da0753be2f7b372445e11b9565c50caa6b899,human-authored/deterministic-geometry-v1,replay:sha256:c2b8cf2a494e8a13169775987939df41e1d166342ffda0cd5f1d8f6a3fd9b51a,02 Acts intended to cause injury,ABORIGINAL AND TORRES STRAIT ISLANDER,2 & under 5 years
