publication_vintage_date,reference_date,age_group_id,sex_id,jurisdiction_id,statistic_basis_id,observation_period_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_sex,raw_jurisdiction,raw_statistic_basis,raw_observation_period
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,NT_ff9ec9f7,OFFENDER_RATE_bf190e83,2021_22_98fc83da,published-value,published-unit,265.6,observed,265.6,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C16,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,NT,Offender rate(a),2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,NT_ff9ec9f7,OFFENDER_RATE_bf190e83,2022_23_819e8237,published-value,published-unit,142.3,observed,142.3,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C16,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,NT,Offender rate(a),2022-23
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,QLD_cfd8a309,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,84,observed,84,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C4,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Qld,Number,2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,QLD_cfd8a309,NUMBER_a081e07b,2022_23_819e8237,published-value,published-unit,70,observed,70,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C4,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Qld,Number,2022-23
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,QLD_cfd8a309,OFFENDER_RATE_bf190e83,2021_22_98fc83da,published-value,published-unit,122.3,observed,122.3,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C12,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Qld,Offender rate(a),2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,QLD_cfd8a309,OFFENDER_RATE_bf190e83,2022_23_819e8237,published-value,published-unit,101.7,observed,101.7,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C12,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Qld,Offender rate(a),2022-23
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,SA_360bf3a8,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,14,observed,14,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C5,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,SA,Number,2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,SA_360bf3a8,NUMBER_a081e07b,2022_23_819e8237,published-value,published-unit,13,observed,13,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C5,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,SA,Number,2022-23
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,SA_360bf3a8,OFFENDER_RATE_bf190e83,2021_22_98fc83da,published-value,published-unit,66.8,observed,66.8,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C13,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,SA,Offender rate(a),2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,SA_360bf3a8,OFFENDER_RATE_bf190e83,2022_23_819e8237,published-value,published-unit,61.2,observed,61.2,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C13,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,SA,Offender rate(a),2022-23
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,TAS_71b7c8af,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,5,observed,5,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R31C7,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Tas.,Number,2021-22
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,TAS_71b7c8af,NUMBER_a081e07b,2022_23_819e8237,published-value,published-unit,11,observed,11,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 24,R15C7,sha256:8111d9799b577223e6b76e5610ef862beeecd40605e2d0216de5e2cc615a5394,RecipeV01,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,sha256:fd01d6ef70aeb1d426a67ca7dd460c1aab51a02093c504dd50631e2fb679382e,recorded-crime-offenders,sha256:8eb40f0e9cb431a11156446e02b21cf177ec3b0dcfc545ffd40c62ce307e2df6,tidy.table-family-acceptance/v2,sha256:f8c5885337b21496a79eb579b0a01ca9503913d4e5260e089dddc8c73c4efd2d,sha256:d3473a592b3267ed7dbae4887d1ec00f4ae8c0b97fefd08eb94c2a244215e2f3,sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:03be7522e5475682ebf92e04767d85d4122a7fdd53afca89ec6b201663365ca4,10–11 years,Females,Tas.,Number,2022-23
