publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C2,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,01 Homicide and related offences,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,112,observed,112,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C4,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,021 Assault,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C8,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,112,observed,112,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C3,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C5,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C6,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,4,observed,4,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C7,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,14,observed,14,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C9,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,121 Property damage,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,31,observed,31,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C10,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,1531 Breach of violence order,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,164,observed,164,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R102C11,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,10–19 years,10–19 years,2019–20,Total,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C2,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,01 Homicide and related offences,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,272,observed,272,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C4,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,021 Assault,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C8,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,272,observed,272,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C3,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C5,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,7,observed,7,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C6,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C7,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,13,observed,13,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C9,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,121 Property damage,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,69,observed,69,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C10,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,1531 Breach of violence order,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_20_24_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,NT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,364,observed,364,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 12,R103C11,sha256:89e6499ac7c63c566695ea493006697d9a5b94d8a6c710451e11ea5458c60b74,criminal-courts-australia,sha256:4316746c9a3e133489e6b5f238d3721d8d7315c1bb09df5ca15bee827e320b78,tidy.table-family-acceptance/v2,sha256:e618cfdd38a23d97a5771850a0095e143a8815e852ca4bc3757d7310378cd2c2,sha256:2c0705d4b86503972584838df3b3088eab8a0ae071ce1d457297c2128118b78d,sha256:11f6f19f01f524afefcac2cbf9d968253813bafa94280f69f5ffad1ab5b97670,human-authored/deterministic-map-v1,replay:sha256:7fd7077fda9b39dbd22736e6901e6902fdce35b56ace2a79088a4f2826d82ac3,20–24 years,20–24 years,2019–20,Total,Age,"FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22","FDV Table 12 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Northern Territory, 2019–20 to 2021–22"
