publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,4,observed,4,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C2,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,01 Homicide and related offences(a),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,2701,observed,2701,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C4,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,021 Assault,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,750,observed,750,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C8,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,3353,observed,3353,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C3,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,02 Acts intended to cause injury(b),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,131,observed,131,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C5,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,03 Sexual assault and related offences(a),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,20,observed,20,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C6,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,049 Other dangerous or negligent acts,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,103,observed,103,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C7,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,05 Abduction/ harassment(c),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,735,observed,735,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C9,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,121 Property damage,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,1252,observed,1252,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C10,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,1531 Breach of violence order,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_10_19_YEARS,COUNT,2023-06-30,OFFENCE_TOTAL,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,5589,observed,5589,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R46C11,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,10–19 years,10–19 years,2022–23,Total,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,9,observed,9,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C2,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,01 Homicide and related offences(a),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,4932,observed,4932,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C4,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,021 Assault,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,1093,observed,1093,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C8,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,5831,observed,5831,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C3,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,02 Acts intended to cause injury(b),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,221,observed,221,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C5,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,03 Sexual assault and related offences(a),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,42,observed,42,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C6,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,049 Other dangerous or negligent acts,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,214,observed,214,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C7,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,05 Abduction/ harassment(c),Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,1131,observed,1131,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C9,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,121 Property damage,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,3839,observed,3839,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C10,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,1531 Breach of violence order,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
2024-06-30,2023-06-30,CHAR_20_24_YEARS,COUNT,2023-06-30,OFFENCE_TOTAL,GROUP_AGE,AUSTRALIA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,11290,observed,11290,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 2,R47C11,sha256:c4a6799599fddf10239d0acd6f92eacdb596894b23387f8625f1b10341fd2034,criminal-courts-australia,sha256:e386a11dca142b63be06b6820457e7962b8b02cc22066c8362aa4903b46ec0d0,tidy.table-family-acceptance/v2,sha256:f529927a73eed3634e8fa8975aed7e74e53f311e312b086cef6ed29518b44117,sha256:857e69eec7222cf71243239778867fddb7fd8d668ed00f0ca9abc779f3342af4,sha256:dae04d7408de0dd9d4dae4b3c631b899ade1392aa2ae2c7bfd7ddf1e5bd0850c,human-authored/deterministic-map-v1,replay:sha256:19198b11156882854785eff14671dbfeea3a2fb24e1383d5dc30a70486bf3a17,20–24 years,20–24 years,2022–23,Total,Age,"FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24","FDV Table 2 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Australia, 2022–23 to 2023–24"
