publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,119,observed,119,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R23C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,01 Homicide and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,2.5,observed,2.5,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R57C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,01 Homicide and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,9837,observed,9837,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R24C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,02 Acts intended to cause injury,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,204.3,observed,204.3,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R58C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,02 Acts intended to cause injury,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,1037,observed,1037,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R25C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,03 Sexual assault and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,21.5,observed,21.5,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R59C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,03 Sexual assault and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,7024,observed,7024,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R26C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,04 Dangerous/negligent acts,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,145.8,observed,145.8,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R60C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,04 Dangerous/negligent acts,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,792,observed,792,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R27C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,05 Abduction/harassment,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,16.4,observed,16.4,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R61C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,05 Abduction/harassment,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_06_ROBBERY_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,592,observed,592,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R28C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,06 Robbery/extortion,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_06_ROBBERY_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,12.3,observed,12.3,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R62C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,06 Robbery/extortion,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,1813,observed,1813,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R29C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,07 Unlawful entry with intent,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_07_UNLAWFUL_ENTRY_WITH_INTENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,37.6,observed,37.6,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R63C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,07 Unlawful entry with intent,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_08_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,8043,observed,8043,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R30C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,08 Theft,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_08_THEFT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,167,observed,167,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R64C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,08 Theft,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_09_FRAUD_DECEPTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,2810,observed,2810,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R31C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,09 Fraud/deception,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_09_FRAUD_DECEPTION,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,58.3,observed,58.3,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R65C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,09 Fraud/deception,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_10_19_YEARS,GROUP_AGE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,10672,observed,10672,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R12C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,10–19 years,Age,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_10_19_YEARS,GROUP_AGE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,1556.2,observed,1556.2,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R46C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,10–19 years,Age,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_10_ILLICIT_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,VIC,ANZSOC_2011,defendant-count,person,3395,observed,3395,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R32C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,10 Illicit drug offences,Principal offence,2010–11,Number of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_10_ILLICIT_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,VIC,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,70.5,observed,70.5,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 58,R66C2,sha256:d709c53828d8fd75db14424e20115d38950121f6d79c473a5a34785098b60ee3,criminal-courts-australia,sha256:2b8d2f0c9c61d6767629380824e94e1a764d019a5819b6a201a5ff808db7b345,tidy.table-family-acceptance/v2,sha256:35251f0f31e9156665e80960d3a8b02e30e83c4e77fe4f0f7c45ad21a636787e,sha256:9347ee13e8582bdb139379ad8787e522217b0a12a4a74f0eb1bdc762735a11e0,sha256:51a33d3db802880d90031171211bbacd95a90ceb2f750a8d909e5538e0be2c70,human-authored/deterministic-map-v1,replay:sha256:9d58aeb7091cd3c3825f345cf481fae9d0166970caf310028965f357d7367270,10 Illicit drug offences,Principal offence,2010–11,Rate of defendants finalised,"Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22","Table 58 Defendants finalised (excluding transfers and organisations), Summary characteristics – Victoria, 2010–11 to 2021–22"
