publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,10,observed,10,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C2,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,"01 Homicide
 & related offences","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,19,observed,19,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C3,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,31,observed,31,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C4,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C5,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C6,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C7,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,09 Fraud/ deception,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C8,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,10 Illicit drug offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,77,observed,77,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R33C9,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Acquitted,Method of finalisation,2020–21,Total,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,64,observed,64,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C2,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,"01 Homicide
 & related offences","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,178,observed,178,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C3,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,253,observed,253,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C4,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,169,observed,169,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C5,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,137,observed,137,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C6,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,56,observed,56,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C7,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,09 Fraud/ deception,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,234,observed,234,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C8,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,10 Illicit drug offences,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,1405,observed,1405,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R32C9,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R49C2,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Community supervision/work orders,Non-custodial orders,2020–21,"01 Homicide
 & related offences","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_NON_CUSTODIAL_ORDERS,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,VIC,HIGHER_COURTS,ANZSOC_2011,defendant-count,person,29,observed,29,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 23,R49C3,sha256:792b591fe9acbdc50955ec9b32cec167ffe60fba7d23933360e4b821e86670a3,criminal-courts-australia,sha256:0c41327f8eb8eefa53877c2feb072768080374e27a7b612d35c37e00e6c48225,tidy.table-family-acceptance/v1,sha256:f4034fbc7da89ce1081cfc331b83f1d052fc3dc793e7e6d16da63f5ea131fd44,sha256:64df577ea271c986353324b80691db5ac79a61a3a5f0d4911352bfceacdd777e,sha256:c70dee14d91e4af694bea5da013f8b9340ce94ea4e53d3bff9cf03f4f89ae123,human-authored/deterministic-map-v1,replay:sha256:bd7114b32b0bc51336069609a21b5f219ad0ae4415c0b42a3d355e16887bf44e,Community supervision/work orders,Non-custodial orders,2020–21,02 Acts intended to cause injury,"Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22","Table 23 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – Victoria, 2020–21 to 2021–22"
