publication_vintage_date,reference_date,principal_offence_id,sex_id,method_of_finalisation_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_method_of_finalisation,raw_court_level
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL,HIGHER_COURTS,defendant-count,person,78,observed,78,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R203C7,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Total,Higher Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL,MAGISTRATES_COURTS,defendant-count,person,73,observed,73,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R350C7,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Total,Magistrates' Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL_ADJUDICATED,ALL_COURTS,defendant-count,person,74,observed,74,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R56C4,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,"Total
adjudicated",All Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL_ADJUDICATED,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R497C4,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,"Total
adjudicated",Children's Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL_ADJUDICATED,HIGHER_COURTS,defendant-count,person,64,observed,64,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R203C4,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,"Total
adjudicated",Higher Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TOTAL_ADJUDICATED,MAGISTRATES_COURTS,defendant-count,person,9,observed,9,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R350C4,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,"Total
adjudicated",Magistrates' Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,ALL_COURTS,defendant-count,person,48,observed,48,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R56C5,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Transfer to other court levels,All Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R497C5,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Transfer to other court levels,Children's Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,HIGHER_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R203C5,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Transfer to other court levels,Higher Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,MAGISTRATES_COURTS,defendant-count,person,48,observed,48,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R350C5,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Transfer to other court levels,Magistrates' Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_WITHDRAWN_BY_PROSECUTION,ALL_COURTS,defendant-count,person,26,observed,26,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R56C6,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Withdrawn by prosecution,All Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_WITHDRAWN_BY_PROSECUTION,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R497C6,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Withdrawn by prosecution,Children's Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_WITHDRAWN_BY_PROSECUTION,HIGHER_COURTS,defendant-count,person,13,observed,13,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R203C6,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Withdrawn by prosecution,Higher Courts
2022-06-30,2022-06-30,ANZSOC2011_01,FEMALE,METHOD_WITHDRAWN_BY_PROSECUTION,MAGISTRATES_COURTS,defendant-count,person,16,observed,16,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R350C6,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Females,Withdrawn by prosecution,Magistrates' Courts
2022-06-30,2022-06-30,ANZSOC2011_01,MALE,METHOD_ACQUITTED,ALL_COURTS,defendant-count,person,69,observed,69,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R8C2,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Males,Acquitted,All Courts
2022-06-30,2022-06-30,ANZSOC2011_01,MALE,METHOD_ACQUITTED,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R449C2,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Males,Acquitted,Children's Courts
2022-06-30,2022-06-30,ANZSOC2011_01,MALE,METHOD_ACQUITTED,HIGHER_COURTS,defendant-count,person,55,observed,55,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 4,R155C2,sha256:d3d2edb45bf9d149c96ce0a49c0e5237f5329b41a7cf682852ee2081390929d4,criminal-courts-australia,sha256:3152323938d0e486e8a5d6c0b9dd891f1fb0e6bfd7ef1ef32de5203810a1a58d,tidy.table-family-acceptance/v1,sha256:2abc44f12b5aefb84249e65cd8e50732c2a9a0cd8cd05bc4567f7eaf6471c38d,sha256:b8852a0a2231a296069be718392b5f9852f0c606e58ae9da854abd5da026e131,sha256:cbe8be3f2c9d5b3b3019c781eb414c533a83753a4d1fa1f123f331875324763e,human-authored/deterministic-map-v1,replay:sha256:ab1fedd2906fe249f3e86c5f9561b741f76e3cf4d1ed54f83faa697323722ec3,01 Homicide and related offences,Males,Acquitted,Higher Courts
