publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_01_HOMICIDE,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,0,observed,0,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C2,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,01 Homicide(a),"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_02_ASSAULT,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,39,observed,39,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C3,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,02 Assault,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_03_SEXUAL_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C4,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,03 Sexual offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_04_HARM_OR_ENDANGER_PERSONS,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,15,observed,15,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C5,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,04 Harm or endanger persons,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_05_ROBBERY_BLACKMAIL_AND_EXTORTION,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,0,observed,0,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C6,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,"05 Robbery, blackmail, and extortion","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_06_BURGLARY,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C7,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,06 Burglary,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_07_THEFT,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,21,observed,21,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C8,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,07 Theft,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_08_FRAUD_AND_RELATED_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C9,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,08 Fraud and related offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_09_DRUG_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,7,observed,7,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C10,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,09 Drug offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_10_WEAPONS_AND_EXPLOSIVES_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,0,observed,0,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C11,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,10 Weapons and explosives offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_11_PROPERTY_DAMAGE,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,7,observed,7,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C12,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,11 Property damage,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_12_PUBLIC_ORDER_HEALTH_AND_SAFETY_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,7,observed,7,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C13,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,"12 Public order, health, and safety offences","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_13_TRAFFIC_AND_VEHICLE_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,90,observed,90,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C14,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,13 Traffic and vehicle offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_14_OFFENCES_AGAINST_JUSTICE_PROCEDURES_AND_ORDERS,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,24,observed,24,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C15,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,14 Offences against justice procedures and orders(b),"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_15_OFFENCES_AGAINST_GOVERNMENT,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,0,observed,0,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C16,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,15 Offences against government,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_16_ENVIRONMENTAL_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,11,observed,11,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C17,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,16 Environmental offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_17_MISCELLANEOUS_OFFENCES,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,4,observed,4,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C18,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,17 Miscellaneous offences,"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_TOTAL,VIC,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,236,observed,236,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 31,R32C19,sha256:7ac917cfb1407d1c283e238ff3da89ff5bcfe8cc1c8d3e00129cc1dfb3cbcaa3,criminal-courts-australia,sha256:5c0bd725c0b5f29f33779cc6adf6b86af49fa9f60b34ee0a4c98b96ef26d424c,tidy.table-family-acceptance/v1,sha256:14ce7fe7f53d129f48af41bac308ae4ca4b1c346faa3ac0bd5a35c583ff274b6,sha256:ab8af6505158a17474d55055cd412cb01a3969789b8f3004728604ef1c1807e5,sha256:ed02aa3d358336c5d6165a22ff40b206c1078737b855a945599f76d6fe047b7a,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2023–24,Total(c),"Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25","Table 31 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Victoria, 2023–24 to 2024–25"
