publication_vintage_date,reference_date,jurisdiction_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,AUSTRALIA_80f94363,2020_21_d6db3b1d,NUMBER_a081e07b,published-value,published-unit,41248,observed,41248,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R15C6,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Australia(f),2020–21,Number
2022-06-30,2022-06-30,AUSTRALIA_80f94363,2021_22_dd8903a1,NUMBER_a081e07b,published-value,published-unit,42456,observed,42456,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R15C7,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Australia(f),2021–22,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2016_17_14c8c17c,NUMBER_a081e07b,published-value,published-unit,7503,observed,7503,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C2,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2016–17,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2017_18_e0619229,NUMBER_a081e07b,published-value,published-unit,7501,observed,7501,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C3,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2017–18,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2018_19_3fe15a03,NUMBER_a081e07b,published-value,published-unit,8328,observed,8328,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C4,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2018–19,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2019_20_6d3dcb6c,NUMBER_a081e07b,published-value,published-unit,9376,observed,9376,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C5,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2019–20,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2020_21_d6db3b1d,NUMBER_a081e07b,published-value,published-unit,10349,observed,10349,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C6,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2020–21,Number
2022-06-30,2022-06-30,NEW_SOUTH_WALES_92f089b8,2021_22_dd8903a1,NUMBER_a081e07b,published-value,published-unit,10918,observed,10918,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R7C7,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,New South Wales,2021–22,Number
2022-06-30,2022-06-30,NORTHERN_TERRITORY_a1d418fe,2016_17_14c8c17c,NUMBER_a081e07b,published-value,published-unit,1307,observed,1307,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R13C2,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Northern Territory,2016–17,Number
2022-06-30,2022-06-30,NORTHERN_TERRITORY_a1d418fe,2017_18_e0619229,NUMBER_a081e07b,published-value,published-unit,1530,observed,1530,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R13C3,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Northern Territory,2017–18,Number
2022-06-30,2022-06-30,NORTHERN_TERRITORY_a1d418fe,2018_19_3fe15a03,NUMBER_a081e07b,published-value,published-unit,1388,observed,1388,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R13C4,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Northern Territory,2018–19,Number
2022-06-30,2022-06-30,NORTHERN_TERRITORY_a1d418fe,2019_20_6d3dcb6c,NUMBER_a081e07b,published-value,published-unit,1383,observed,1383,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R13C5,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Northern Territory,2019–20,Number
2022-06-30,2022-06-30,NORTHERN_TERRITORY_a1d418fe,2020_21_d6db3b1d,NUMBER_a081e07b,published-value,published-unit,1602,observed,1602,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 10,R13C6,sha256:9543baa64eb5cffc2facd32d179238e95a0c076fdc4fe0650362afb3db361afa,RecipeV01,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,sha256:862b3feeddea978aeef6935a5d9c8dda4fd2caacbbd1e7e2a225f8f51cafffa0,recorded-crime-offenders,sha256:c33a2c91c9731a3ef5c5ca7bedc58905e3956ac694571ff5b8c7026f383ab1df,tidy.table-family-acceptance/v2,sha256:763c7c56e7892b379c126035cf616a48890dc1b0e813ee008069bd44ea88de6c,sha256:60199e393db06ae06daa877e248569808be89da2a187d8dd4f11503d1a1a6f07,sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,provider-free/offenders-remaining-c4-v1/semantic-map-v1-recipe-v01,replay:sha256:9246f8598c6534146dc750c63a44985c30073ac282068a2d6b9499013496299c,Northern Territory,2020–21,Number
