publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C2,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C3,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C4,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C5,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C6,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,08 Theft,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C7,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C8,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,13 Public order offences,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C9,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,14,observed,14,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R33C10,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Acquitted,Method of finalisation,2020–21,Total,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,121,observed,121,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C2,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,27,observed,27,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C3,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,24,observed,24,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C4,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,60,observed,60,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C5,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,107,observed,107,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C6,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,08 Theft,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,36,observed,36,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C7,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,30,observed,30,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C8,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,13 Public order offences,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,37,observed,37,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C9,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,SA,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,532,observed,532,sha256:e7948fe1073b749487923af20accc1a482ef9107f629ecf52d4ec7b909c5dd94,Table 35,R32C10,sha256:c9ad23f720b60c61eaa5ae7cfbc4c0af0604753fa7fa86fd99c13d8b59dd867a,criminal-courts-australia,sha256:f0181f48bd79efc24379da530b323532060239f83d9a6b4a904b7a25e7325973,tidy.table-family-acceptance/v1,sha256:11669187bfc656270d3ed17e72eafb6d9ef17ebfcbe00629b571eb7c27e03b56,sha256:3bea3c762427c60b1bf2b12ef6bb00a8c967fac51f7735c44957f5d828187ecc,sha256:ad918eef47bfaf2836d12b610ebcf8cc03d2ed620cb2d44c87d7cd78f0919953,human-authored/deterministic-map-v1,replay:sha256:e217ab865f818c5f2a6cdd2026106b2d1e269b49ba7feeefe563c878f98c46af,Adjudicated outcomes,Method of finalisation,2020–21,Total,"Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22","Table 35 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – South Australia, 2020–21 to 2021–22"
