publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,indigenous_status_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_indigenous_status,raw_jurisdiction
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,NON_INDIGENOUS,SA,defendant-count,person,15,observed,15,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C12,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Non-Indigenous,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,NON_INDIGENOUS,TAS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C12,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Non-Indigenous,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R99C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,NSW,defendant-count,person,66,observed,66,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,NT,defendant-count,person,5,observed,5,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,QLD,defendant-count,person,45,observed,45,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,SA,defendant-count,person,15,observed,15,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_5_YEARS_AND_OVER,TOTAL,TAS,defendant-count,person,3,observed,3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C19,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,5 years & over,Total,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R99C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,NSW,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,NT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,QLD,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,SA,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,INDIGENOUS,TAS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C3,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Aboriginal & Torres Strait Islander,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,NON_INDIGENOUS,NSW,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C10,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Non-Indigenous,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,NON_INDIGENOUS,NT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C10,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Non-Indigenous,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,NON_INDIGENOUS,QLD,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C10,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Non-Indigenous,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,NON_INDIGENOUS,SA,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C10,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Non-Indigenous,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,NON_INDIGENOUS,TAS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C10,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Non-Indigenous,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R99C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,NSW,defendant-count,person,4,observed,4,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,NT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R81C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,QLD,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R27C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,SA,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R45C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_6_TO_UNDER_12_MONTHS,TOTAL,TAS,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R63C17,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,6 to under 12 months,Total,Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN,INDIGENOUS,ACT,sentence-mean-duration,month,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R99C7,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,Mean,Aboriginal & Torres Strait Islander,Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_MEAN,INDIGENOUS,NSW,sentence-mean-duration,month,133.3,observed,133.3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 72,R9C7,sha256:6d0152cd30a1673861ab02aae139d8aafb3ab7573394b0110c5fc60f142f828d,criminal-courts-australia,sha256:ce6b0c7bd780bb83387f3faae636f4075e7215d728d08bd0ee08020e1a0eba90,tidy.table-family-acceptance/v1,sha256:239ebd6ca0b173b257a5c2616af628b6b33c98d446031a761ac8480548365f39,sha256:44e8904a65379679a3f640f61817eea6fe1131f3e3a11413a04d3d3ddf950f27,sha256:aa6e2ada0ac014fb20ffb8f2c9596ddeee28d3732c9d588a449493278f866cea,human-authored/deterministic-map-v1,replay:sha256:56850fc014433d65f77a54fa10163a02bf4b0fb8bda4d143b41c70a57a3eac2f,01 Homicide and related offences,Mean,Aboriginal & Torres Strait Islander,New South Wales
